device build rows dataset relpages workers wm eic ioc readahead matches distinct run caching optimal timing
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 512 10000 1 uncached bitmapscan 1472.146
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 1024 10000 1 uncached bitmapscan 239.872
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 2048 10000 1 uncached bitmapscan 209.138
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 4048 10000 1 uncached bitmapscan 212.005
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 6048 10000 1 uncached seqscan 214.503
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 8048 10000 1 uncached seqscan 220.068
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 0 32 8192 10048 10000 1 uncached seqscan 224.010
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 2 10000 1 uncached bitmapscan 35.412
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 4 10000 1 uncached bitmapscan 60.848
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 8 10000 1 uncached bitmapscan 108.352
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 16 10000 1 uncached bitmapscan 199.773
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 32 10000 1 uncached bitmapscan 375.930
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 64 10000 1 uncached bitmapscan 712.093
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 128 10000 1 uncached bitmapscan 1306.227
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 256 10000 1 uncached bitmapscan 2330.652
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 512 10000 1 uncached bitmapscan 3478.543
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 1024 10000 1 uncached bitmapscan 2531.665
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 2048 10000 1 uncached bitmapscan 1695.050
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 4048 10000 1 uncached bitmapscan 217.041
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 6048 10000 1 uncached seqscan 217.792
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 8048 10000 1 uncached seqscan 222.783
raid-sata master 1000000 uniform 41667 0 4096 1 16 8192 10048 10000 1 uncached seqscan 219.696
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 2 10000 1 uncached bitmapscan 36.755
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 4 10000 1 uncached bitmapscan 62.583
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 8 10000 1 uncached bitmapscan 104.498
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 16 10000 1 uncached bitmapscan 187.597
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 32 10000 1 uncached bitmapscan 339.589
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 64 10000 1 uncached bitmapscan 638.895
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 128 10000 1 uncached bitmapscan 1074.530
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 256 10000 1 uncached bitmapscan 1551.497
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 512 10000 1 uncached bitmapscan 1698.214
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 1024 10000 1 uncached bitmapscan 1220.519
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 2048 10000 1 uncached bitmapscan 218.340
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 4048 10000 1 uncached bitmapscan 217.248
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 6048 10000 1 uncached seqscan 216.409
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 8048 10000 1 uncached seqscan 223.999
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 1 16 8192 10048 10000 1 uncached seqscan 236.611
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 2 10000 1 uncached bitmapscan 40.751
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 4 10000 1 uncached bitmapscan 62.563
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 8 10000 1 uncached bitmapscan 103.113
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 16 10000 1 uncached bitmapscan 205.420
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 32 10000 1 uncached bitmapscan 374.031
raid-sata master 1000000 uniform 41667 0 4096 1 1 8192 64 10000 1 uncached bitmapscan 706.478
