  device   |  rows   |   dataset   | relpages | workers |  wm   | eic | nmatches | ndistinct |  caching  |  optimal   | cnt_master |    timing_master     | cnt_p1 |      timing_p1       | cnt_p2 |      timing_p2       | cnt_p3 |      timing_p3       | cnt_p4 |      timing_p4       
 raid-nvme | 1000000 | cyclic      |    41667 |       4 |   128 |   1 |       52 |       100 | uncached  | seqscan    |          3 |   122.57099999999998 |      3 |   128.67366666666666 |      3 |              115.818 |      3 |   311.12566666666663 |      3 |   313.76233333333334
 data      | 1000000 | cyclic-fuzz |    41667 |       4 |   128 |   1 |       92 |       100 | uncached  | seqscan    |          3 |   424.50399999999996 |      3 |    394.2516666666667 |      3 |   424.68800000000005 |      3 |              607.945 |      3 |    604.9903333333333
 data      | 1000000 | cyclic      |    41667 |       4 |   128 |   1 |       92 |       100 | uncached  | seqscan    |          3 |    427.8226666666667 |      3 |    396.4463333333333 |      3 |    423.8723333333334 |      3 |    604.9753333333333 |      3 |    607.0450000000001
 data      | 1000000 | cyclic      |    41667 |       4 | 65536 |   1 |       92 |       100 | uncached  | seqscan    |          3 |              439.117 |      3 |              427.307 |      3 |    424.5463333333334 |      3 |    611.6523333333333 |      3 |    612.4306666666666
 data      | 1000000 | uniform     |    41667 |       0 |  4096 |   0 |      512 |     10000 | uncached  | bitmapscan |          3 |   146.76733333333334 |      3 |   148.04866666666666 |      3 |   143.63766666666666 |      3 |    317.3286666666666 |      3 |    392.8963333333333
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 | 65536 |   1 |    10048 |     10000 | uncached  | seqscan    |          3 |   121.25466666666667 |      3 |               122.17 |      3 |              129.828 |      3 |    262.8776666666667 |      3 |    253.6236666666667
 raid-nvme | 1000000 | cyclic      |    41667 |       4 |  4096 |   1 |       52 |       100 | uncached  | seqscan    |          3 |               121.71 |      3 |   121.83666666666666 |      3 |   123.20533333333333 |      3 |   257.28766666666667 |      3 |   243.48866666666672
 raid-nvme | 1000000 | uniform     |    41667 |       4 | 65536 |   1 |     1024 |     10000 | uncached  | bitmapscan |          3 |              103.017 |      3 |   108.33833333333332 |      3 |    98.57833333333333 |      3 |   238.17499999999998 |      3 |    239.6243333333333
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 |  4096 |   1 |      112 |       100 | uncached  | seqscan    |          3 |                112.8 |      3 |   119.18433333333333 |      3 |   108.55333333333333 |      3 |   247.50133333333335 |      3 |    234.9026666666667
 raid-nvme | 1000000 | linear      |    41667 |       4 |   128 |   1 |    10048 |     10000 | uncached  | seqscan    |          3 |   110.42166666666667 |      3 |              112.505 |      3 |              106.092 |      3 |    244.5616666666667 |      3 |   231.27333333333334
 raid-nvme | 1000000 | uniform     |    41667 |       4 |  4096 |   1 |     1024 |     10000 | uncached  | bitmapscan |          3 |   103.50966666666666 |      3 |   102.81099999999999 |      3 |   108.54733333333333 |      3 |   237.57666666666668 |      3 |   242.93866666666668
 raid-nvme | 1000000 | linear      |    41667 |       4 | 65536 |   1 |    10048 |     10000 | uncached  | seqscan    |          3 |   112.91966666666667 |      3 |   110.61866666666667 |      3 |              115.209 |      3 |              245.048 |      3 |   242.13933333333333
 raid-nvme | 1000000 | uniform     |    41667 |       4 |  4096 |   1 |     2048 |     10000 | uncached  | bitmapscan |          3 |    95.76833333333333 |      3 |    99.62366666666667 |      3 |   103.55933333333333 |      3 |   225.60333333333332 |      3 |   220.24933333333334
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 |   128 |   1 |    10048 |     10000 | uncached  | seqscan    |          3 |              109.984 |      3 |   116.97666666666667 |      3 |   110.20366666666666 |      3 |   239.40233333333333 |      3 |   232.55999999999997
 raid-nvme | 1000000 | uniform     |    41667 |       4 | 65536 |   1 |     8048 |     10000 | uncached  | seqscan    |          3 |              124.004 |      3 |    128.8033333333333 |      3 |   126.68133333333333 |      3 |   252.36733333333333 |      3 |   248.17666666666665
 raid-nvme | 1000000 | linear      |    41667 |       4 |  4096 |   1 |    10048 |     10000 | uncached  | seqscan    |          3 |              115.527 |      3 |   115.41333333333334 |      3 |   117.15933333333334 |      3 |    242.3036666666667 |      3 |    261.2426666666667
 raid-nvme | 1000000 | uniform     |    41667 |       4 | 65536 |   1 |     4048 |     10000 | uncached  | seqscan    |          3 |   109.93566666666668 |      3 |   108.11099999999999 |      3 |   107.94066666666667 |      3 |   236.01500000000001 |      3 |   221.30133333333333
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 |  4096 |   1 |       92 |       100 | uncached  | seqscan    |          3 |   117.07133333333333 |      3 |   112.55866666666667 |      3 |   119.22366666666666 |      3 |              242.797 |      3 |   236.12366666666665
 raid-nvme | 1000000 | cyclic      |    41667 |       4 |   128 |   1 |      112 |       100 | uncached  | seqscan    |          3 |   114.99566666666668 |      3 |   115.53633333333333 |      3 |   114.70233333333334 |      3 |   239.05700000000002 |      3 |   232.77366666666668
 raid-nvme | 1000000 | uniform     |    41667 |       4 |   128 |   1 |     2048 |     10000 | uncached  | seqscan    |          3 |   100.89066666666668 |      3 |    94.08166666666666 |      3 |   104.04599999999999 |      3 |               224.54 |      3 |   218.32666666666668
